"Product_ID","Product_Name","Product_Description","Weight","Price"
"PR00001","Dual-Screen Desk Lamp","Ergonomic",2.11,988.12
"PR00002","Compact Smartwatch","Ergonomic",2.87,972.18
"PR00003","Multi-Function Keyboard","Eco-friendly",6.4,104.89
"PR00004","Magnetic Console","Versatile use",12.79,653.31
"PR00005","SD Nintendo","Ergonomic",19.25,232.73
"PR00006","Noise-Cancelling External Hard Drive","Durable",12.27,161.05
"PR00007","Touch External Hard Drive","High quality",8.74,180.86
"PR00008","Smart Smart Glasses","Durable",15.21,900.06
"PR00009","Slim Smart Speaker","Ergonomic",6.49,815.66
"PR00010","Wireless VR Headset","High quality",19.69,973.03
"PR00011","Sleek Headphones","Versatile use",19.13,354.82
"PR00012","Eco Smartphone","Energy efficient",13.43,54.1
"PR00013","Wireless Router","Innovative technology",3.49,525.33
"PR00014","Retro Router","Sleek and modern",18.17,127.65
"PR00015","Sleek Drone","Sleek and modern",5.5,34
"PR00016","Smart eReader","Versatile use",13.56,854.56
"PR00017","Ultra Recorder","Durable",12.57,235.73
"PR00018","Budget VR Headset","User-friendly",17.82,191.64
"PR00019","Slim Action Cam","High quality",13.27,340.19
"PR00020","Multi-Function Mouse","High quality",7.98,912.2
"PR00021","Ergonomic Action Cam","Compact design",8.09,501.14
"PR00022","High-Resolution Earbuds","High quality",10.06,854.15
"PR00023","Waterproof Laptop","Innovative technology",11.49,916.65
"PR00024","SE Headphones","Innovative technology",12.2,130.71
"PR00025","Heavy-Duty Laptop","Eco-friendly",18.99,482.89
"PR00026","Premium VR Headset","Compact design",11.74,926.11
"PR00027","Smart Keyboard","Innovative technology",12.21,838.22
"PR00028","Compact Earbuds","Ergonomic",5.1,455.56
"PR00029","Touch Camera","Eco-friendly",6.97,360.61
"PR00030","Lite Desk Lamp","Eco-friendly",13.1,409.14
"PR00031","Mini Keyboard","Versatile use",17.4,749.41
"PR00032","Retro Recorder","Versatile use",16.69,648.99
"PR00033","High-Speed Headphones","Innovative technology",16.42,949.3
"PR00034","Budget Action Cam","Innovative technology",9.43,173.42
"PR00035","Ergonomic Smart Glasses","Innovative technology",5.84,370.83
"PR00036","Compact Action Cam","Sleek and modern",6.1,365.9
"PR00037","Eco Earbuds","Eco-friendly",9.98,550.63
"PR00038","Retro Gaming Chair","Eco-friendly",13.93,615.62
"PR00039","High-Resolution External Hard Drive","Eco-friendly",9.47,411.4
"PR00040","Budget Tablet","Versatile use",5.25,994.03
"PR00041","Sleek eReader","Sleek and modern",11.58,554.81
"PR00042","Slim Drone","Compact design",0.5,781.24
"PR00043","HD Camera","Energy efficient",19.09,323.48
"PR00044","Wireless Keyboard","Eco-friendly",5.45,267.36
"PR00045","High-Resolution Laptop","Versatile use",8.05,583.9
"PR00046","Slim External Hard Drive","Energy efficient",17.32,207.69
"PR00047","Premium Mouse","Compact design",18.75,604.73
"PR00048","Foldable External Hard Drive","Innovative technology",11.07,287.99
"PR00049","Touch Recorder","Innovative technology",14.85,503.5
"PR00050","Vintage Drone","Versatile use",7.43,313.62
"PR00051","Retro Smartphone","High quality",12.29,724.51
"PR00052","Slim Nintendo","Sleek and modern",15.48,723.06
"PR00053","Retro Power Bank","Versatile use",8.15,530.6
"PR00054","Compact Console","Sleek and modern",9.13,301.77
"PR00055","Smart Router","Versatile use",2.14,167.71
"PR00056","Portable Mouse","Sleek and modern",13.64,494.03
"PR00057","Compact Camera","Versatile use",6,500.78
"PR00058","HD Keyboard","Durable",12.41,419.71
"PR00059","Premium Drone","Durable",11.22,114.15
"PR00060","Dual-Screen Smartphone","Ergonomic",13.25,422.63
"PR00061","Wireless Headphones","Versatile use",14.96,859.01
"PR00062","Budget Smart Speaker","High quality",15.85,697.37
"PR00063","Compact Keyboard","Compact design",8.81,697.83
"PR00064","Pro Console","High quality",15.67,244.81
"PR00065","Magnetic Power Bank","Compact design",19.1,250.76
"PR00066","Advanced External Hard Drive","Sleek and modern",15.79,722.6
"PR00067","Mini Camera","User-friendly",10.21,180.19
"PR00068","Compact Smartphone","Versatile use",18.58,845.88
"PR00069","AI-Powered Router","Eco-friendly",5.3,145.53
"PR00070","High-Resolution Mouse","Innovative technology",5,139.22
"PR00071","Budget Console","Sleek and modern",15.53,37.28
"PR00072","Dual-Screen Smartwatch","Ergonomic",19.35,165.94
"PR00073","Portable Camera","Sleek and modern",18.3,294.85
"PR00074","SE Laptop","Eco-friendly",3.15,684.37
"PR00075","Mini Laptop","High quality",15.78,493.47
"PR00076","Rugged Headphones","Compact design",8.57,849.84
"PR00077","Magnetic Earbuds","Sleek and modern",8.68,131.8
"PR00078","Foldable Smartwatch","Ergonomic",1.28,322.37
"PR00079","Rugged Action Cam","High quality",18.91,104.63
"PR00080","Touch VR Headset","User-friendly",4.39,704.93
"PR00081","High-Performance Power Bank","Ergonomic",8.49,163.59
"PR00082","Advanced Mouse","Sleek and modern",18.45,836.26
"PR00083","SD Monitor","Compact design",14.48,940.16
"PR00084","Eco Smart Speaker","High quality",18.71,761.19
"PR00085","Magnetic Smartwatch","Energy efficient",7.29,255.13
"PR00086","Dual-Screen Smart Speaker","Eco-friendly",1.86,643.43
"PR00087","Premium Laptop","Innovative technology",9.88,133.91
