"Product_ID","Product_Name","Product_Description","Weight","Price"
"PR00001","Solar Console","Sleek and modern",2.17,820.07
"PR00002","Portable Action Cam","Eco-friendly",17.79,711.42
"PR00003","Budget Drone","Durable",0.69,214.56
"PR00004","Solar Monitor","Innovative technology",2.95,557.12
"PR00005","Waterproof Mouse","Durable",2.51,811.8
"PR00006","Portable VR Headset","Ergonomic",8.68,378.94
"PR00007","Premium Power Bank","Eco-friendly",6.32,42.29
"PR00008","Multi-Function Nintendo","Ergonomic",9.69,515.74
"PR00009","Foldable Nintendo","Compact design",13.96,536.61
"PR00010","Advanced Monitor","Innovative technology",15.29,243.38
"PR00011","Lite External Hard Drive","User-friendly",2.99,500.39
"PR00012","Gaming VR Headset","User-friendly",2.69,945.59
"PR00013","Retro Mouse","High quality",15.75,797.51
"PR00014","Rugged Smartwatch","Compact design",4.64,982.49
"PR00015","HD Drone","Sleek and modern",15.19,137.23
"PR00016","Ultra Gaming Chair","Ergonomic",6.66,359.62
"PR00017","Budget Keyboard","Durable",12.05,723.03
"PR00018","Solar Drone","Ergonomic",4.38,684.11
"PR00019","Rugged Recorder","Sleek and modern",8.96,275.08
"PR00020","Advanced VR Headset","User-friendly",17.79,144.18
"PR00021","Eco Smart Glasses","Eco-friendly",5.29,390.53
"PR00022","Premium Gaming Chair","Compact design",13.52,177.71
"PR00023","Smart Keyboard","Innovative technology",11.55,323.76
"PR00024","Dual-Screen Drone","Versatile use",14.05,518.26
"PR00025","AI-Powered Action Cam","Versatile use",1.1,807.88
"PR00026","Gaming Recorder","High quality",11.82,888.25
"PR00027","Magnetic Nintendo","Energy efficient",8.54,642.76
"PR00028","Magnetic Headphones","Energy efficient",11.02,279.73
"PR00029","Retro Smartphone","Eco-friendly",1.16,354.33
"PR00030","Advanced Laptop","Energy efficient",9.47,910.99
"PR00031","Retro Router","Ergonomic",13,733.91
"PR00032","Vintage Laptop","User-friendly",4.67,130.82
"PR00033","Ultra Smart Glasses","Energy efficient",0.73,144.18
"PR00034","High-Resolution Console","Durable",1.11,438.91
"PR00035","Slim Drone","User-friendly",12.36,694.31
"PR00036","Rugged Action Cam","Energy efficient",19.96,286.65
"PR00037","Ultra Recorder","High quality",4.11,707.07
"PR00038","High-Performance Smartphone","High quality",18.93,68.26
"PR00039","Premium Earbuds","User-friendly",14.18,700.09
"PR00040","Mini Printer","Durable",5.97,119.92
"PR00041","Compact Smartwatch","Eco-friendly",10.8,510.07
"PR00042","SD Headphones","Innovative technology",1.47,478.48
"PR00043","SD Smartwatch","User-friendly",4.01,402.88
"PR00044","Premium Keyboard","User-friendly",8.23,604.66
"PR00045","Rugged Keyboard","User-friendly",18.54,304.05
"PR00046","Mini Gaming Chair","Energy efficient",11.16,587.65
"PR00047","Budget Nintendo","Energy efficient",1.89,713.3
"PR00048","Noise-Cancelling Action Cam","Compact design",9.78,815.18
"PR00049","Ultra-Light Laptop","Versatile use",4.44,124.37
"PR00050","Multi-Function Action Cam","Eco-friendly",11.43,500.36
"PR00051","Pro Smart Glasses","Innovative technology",16.01,134.64
"PR00052","Magnetic Mouse","Eco-friendly",15.99,195.21
"PR00053","Smart VR Headset","Sleek and modern",8.67,524.49
"PR00054","SD Headphones","Durable",15.47,119.82
"PR00055","Multi-Function Action Cam","Durable",5.21,241.25
"PR00056","Vintage Power Bank","User-friendly",16.39,602.62
"PR00057","Sleek Smartphone","Ergonomic",6.22,141.33
"PR00058","Magnetic Action Cam","Sleek and modern",11.06,257.03
"PR00059","Ultra-Light Earbuds","Compact design",0.72,885.41
"PR00060","High-Resolution Keyboard","Innovative technology",6.05,255.65
"PR00061","Gaming Router","Versatile use",12.66,753.44
"PR00062","Touch Headphones","Compact design",14.47,54.57
"PR00063","Sleek Keyboard","Eco-friendly",1.65,801.32
"PR00064","Magnetic Smart Speaker","Innovative technology",15.66,869.99
"PR00065","High-Resolution Smartphone","High quality",18.43,135.77
"PR00066","Compact Smart Glasses","Sleek and modern",9.07,519.56
"PR00067","Wireless Console","Innovative technology",19.4,509.36
"PR00068","Portable Power Bank","Compact design",12.31,668.26
"PR00069","Touch Keyboard","Energy efficient",2.37,140.8
"PR00070","Advanced Smartphone","Ergonomic",6.72,401.17
"PR00071","Slim Router","Durable",13.35,861.91
"PR00072","Ultra Router","Sleek and modern",0.88,69.31
"PR00073","Sleek Camera","Eco-friendly",6.57,135.15
"PR00074","High-Performance Nintendo","High quality",10.51,377.29
"PR00075","Vintage Earbuds","Versatile use",13.76,372.39
"PR00076","Ultra Action Cam","High quality",0.92,247.29
"PR00077","Portable Mouse","Eco-friendly",17.23,168.44
"PR00078","Ultra-Light Recorder","Durable",19.86,549.79
"PR00079","Foldable Laptop","Energy efficient",19.92,820.32
"PR00080","Smart VR Headset","Sleek and modern",1.07,298.94
"PR00081","Vintage Fitness Tracker","Energy efficient",12.39,332.27
"PR00082","Sleek Laptop","Ergonomic",12.55,76.41
"PR00083","Retro Monitor","Durable",7.68,28.76
"PR00084","SD Recorder","Versatile use",18.78,256.76
"PR00085","HD Smartwatch","Sleek and modern",4.46,83.49
"PR00086","Eco Drone","Compact design",7.8,574.24
"PR00087","Sleek Printer","Energy efficient",8.28,504.25
"PR00088","Multi-Function Smartphone","Energy efficient",11.79,492.14
"PR00089","Vintage Router","Sleek and modern",9.4,397.82
"PR00090","Solar Fitness Tracker","Versatile use",15.57,508.28
"PR00091","Magnetic Smartwatch","Compact design",1.65,647.96
"PR00092","Portable Camera","Compact design",7.71,393.05
"PR00093","Sleek Earbuds","Ergonomic",1.64,101.69
