"Product_ID","Product_Name","Product_Description","Weight","Price"
"PR00001","Pro Smartphone","Compact design",10.32,603.84
"PR00002","Multi-Function Recorder","User-friendly",11.06,651.29
"PR00003","Rugged Keyboard","Energy efficient",9.63,74.23
"PR00004","Waterproof Action Cam","Energy efficient",17.27,839.93
"PR00005","Lite Gaming Chair","Ergonomic",6.32,560
"PR00006","Retro Power Bank","Ergonomic",7.49,176.37
"PR00007","AI-Powered Keyboard","Energy efficient",7.54,813.73
"PR00008","Portable Smartwatch","Durable",12.32,56.62
"PR00009","Eco Headphones","Sleek and modern",12.3,540.03
"PR00010","Ultra-Light Keyboard","Durable",16.45,148.44
"PR00011","High-Performance External Hard Drive","Eco-friendly",19.85,305.95
"PR00012","High-Speed Printer","Innovative technology",12.19,557.81
"PR00013","Wireless Nintendo","Versatile use",9.39,66.83
"PR00014","Advanced External Hard Drive","Sleek and modern",13.43,301.08
"PR00015","Dual-Screen Camera","High quality",14.82,558.72
"PR00016","Waterproof Desk Lamp","Eco-friendly",17.04,722.27
"PR00017","Lite Smart Glasses","Eco-friendly",1.02,773.29
"PR00018","Budget VR Headset","User-friendly",10.61,821.73
"PR00019","Multi-Function Smart Speaker","Innovative technology",12.46,74.25
"PR00020","Heavy-Duty Smart Speaker","Versatile use",9.84,738.57
"PR00021","Mini Smartphone","High quality",14.55,266.72
"PR00022","Budget Tablet","Energy efficient",3.95,973.32
"PR00023","Noise-Cancelling Laptop","Eco-friendly",4.65,941.02
"PR00024","High-Speed Console","Eco-friendly",1.43,857.64
"PR00025","Gaming Tablet","Versatile use",2.64,528.04
"PR00026","High-Speed Camera","Energy efficient",1.96,249.64
"PR00027","Touch Fitness Tracker","Energy efficient",17.56,359.94
"PR00028","Sleek Router","High quality",13.49,198.93
"PR00029","Magnetic Fitness Tracker","Energy efficient",9.5,112.96
"PR00030","Retro Camera","Durable",17.87,672.44
"PR00031","AI-Powered Camera","High quality",6.44,948.66
"PR00032","Smart Camera","Versatile use",12.43,846.88
"PR00033","Eco Tablet","High quality",8.37,282.98
"PR00034","SD VR Headset","Innovative technology",16.87,726.03
"PR00035","Touch Camera","Ergonomic",17.32,481
"PR00036","Sleek Action Cam","Compact design",11.6,51.22
"PR00037","Premium Headphones","Energy efficient",6.8,672.12
"PR00038","High-Resolution Earbuds","User-friendly",1.28,303.78
"PR00039","Slim Fitness Tracker","Versatile use",12.39,545.84
"PR00040","Budget Camera","User-friendly",6.68,474.54
"PR00041","Budget eReader","Ergonomic",11.85,697.25
"PR00042","Compact Laptop","Sleek and modern",5.45,165.2
"PR00043","Dual-Screen Keyboard","Sleek and modern",12.87,819.68
"PR00044","Mini Laptop","Compact design",19.15,247.26
"PR00045","Foldable Mouse","Sleek and modern",3.18,795.23
"PR00046","Gaming Power Bank","Energy efficient",14.24,407.15
"PR00047","Noise-Cancelling Headphones","Ergonomic",4.01,345.37
"PR00048","High-Resolution Smart Speaker","Durable",14.82,590.32
"PR00049","Compact Action Cam","Ergonomic",17.8,104.79
"PR00050","High-Resolution Nintendo","Eco-friendly",17.29,159.09
"PR00051","Pro Smartphone","Durable",4.25,895.95
"PR00052","High-Performance Headphones","Energy efficient",16.31,799.66
"PR00053","Advanced Power Bank","Compact design",7.15,500.66
"PR00054","Magnetic Earbuds","Ergonomic",5.18,92.57
"PR00055","Eco Fitness Tracker","Compact design",8.15,160.83
"PR00056","SE Smart Glasses","User-friendly",15.35,714.65
"PR00057","High-Speed Laptop","Versatile use",3.46,944.33
"PR00058","Dual-Screen Camera","Eco-friendly",7.36,188.91
"PR00059","Rugged Smartwatch","Versatile use",3.98,220.02
