product_id,product_name,product_description,weight,price,promotion_id,dimension_id,supplier_id
PR00001,AI-Powered Router,Innovative technology,6.59,545.35,PM00402,DM00638,SP00352
PR00002,Sleek Action Cam,Compact design,3.45,563.07,PM00534,DM00835,SP00601
PR00003,Multi-Function Printer,User-friendly,14.52,763.57,PM00703,DM00562,SP00540
PR00004,Vintage Earbuds,Ergonomic,12.16,311.75,PM00400,DM00508,SP00352
PR00005,Sleek Tablet,Energy efficient,18.67,186.63,PM00762,DM00749,SP00728
PR00006,Vintage Fitness Tracker,Durable,12.93,13.78,PM00017,DM00246,SP00524
PR00007,Retro Earbuds,Durable,12.8,864.99,PM00807,DM00010,SP00736
PR00008,Touch VR Headset,Versatile use,4.74,209.78,PM00121,DM00185,SP00959
PR00009,Sleek Smartphone,User-friendly,15.94,487.61,PM00507,DM00953,SP00003
PR00010,Smart Router,Versatile use,12.56,947.26,PM00177,DM00091,SP00901
PR00011,Foldable Recorder,User-friendly,13.65,581.76,PM00059,DM00475,SP00460
PR00012,Portable Console,Compact design,5.05,122.24,PM00362,DM00591,SP00565
PR00013,Compact Smart Glasses,Durable,16.01,531.14,PM00632,DM00565,SP00347
PR00014,Portable Nintendo,Ergonomic,12.17,570.63,PM00771,DM00064,SP00113
PR00015,SD Smartwatch,Compact design,13.74,682.53,PM00696,DM00735,SP00484
PR00016,Sleek Printer,User-friendly,11.13,317.58,PM00904,DM00686,SP00633
PR00017,Lite VR Headset,Ergonomic,8.25,686.66,PM00824,DM00424,SP00583
PR00018,Vintage Desk Lamp,Ergonomic,8.07,512.23,PM00842,DM00419,SP00083
PR00019,Noise-Cancelling eReader,Eco-friendly,12.88,800.19,PM00769,DM00851,SP00570
PR00020,Portable Keyboard,Compact design,3.79,435.31,PM00712,DM00198,SP00872
PR00021,Touch Earbuds,Energy efficient,15.49,793.96,PM00520,DM00470,SP00956
PR00022,High-Resolution Laptop,Compact design,6.76,451.49,PM00728,DM00291,SP00709
PR00023,Compact Monitor,Sleek and modern,4.47,940.99,PM00339,DM00581,SP00553
PR00024,Budget Tablet,Compact design,13.92,456.74,PM00565,DM00643,SP00172
PR00025,HD Mouse,Durable,11.99,770.18,PM00422,DM00290,SP00062
PR00026,High-Speed Laptop,High quality,6.56,24.59,PM00406,DM00542,SP00801
PR00027,AI-Powered Monitor,Innovative technology,17.73,494.83,PM00658,DM00920,SP00866
PR00028,Advanced Fitness Tracker,Eco-friendly,7.76,505.22,PM00352,DM00335,SP00304
PR00029,Lite Earbuds,User-friendly,5.55,37.68,PM00400,DM00512,SP00085
PR00030,Waterproof Keyboard,Ergonomic,3.28,555.55,PM00096,DM00948,SP00169
PR00031,AI-Powered Console,Compact design,10.13,546.09,PM00101,DM00196,SP00134
PR00032,Heavy-Duty Smartwatch,Energy efficient,6.98,663.35,PM00734,DM00612,SP00745
PR00033,Advanced Keyboard,Innovative technology,9.22,73.22,PM00099,DM00141,SP00657
PR00034,Touch Earbuds,Ergonomic,10.06,915.08,PM00203,DM00356,SP00956
PR00035,Premium Smart Glasses,High quality,18.18,857.72,PM00580,DM00158,SP00239
PR00036,High-Resolution Console,Sleek and modern,5.04,519.52,PM00352,DM00205,SP00690
PR00037,High-Performance Smart Glasses,Energy efficient,4.44,152.23,PM00450,DM00759,SP00371
PR00038,Ergonomic Smartwatch,Energy efficient,7.34,610.65,PM00633,DM00113,SP00604
PR00039,High-Resolution Keyboard,Versatile use,11.24,314.75,PM00264,DM00708,SP00138
PR00040,Sleek Keyboard,Ergonomic,3.14,85.93,PM00394,DM00809,SP00353
PR00041,Noise-Cancelling Power Bank,Innovative technology,8.24,830.62,PM00738,DM00429,SP00227
PR00042,High-Speed Mouse,User-friendly,15.58,544.26,PM00223,DM00406,SP00817
PR00043,Mini eReader,Energy efficient,5.62,178.55,PM00441,DM00912,SP00592
PR00044,Portable Recorder,Compact design,19.74,69.32,PM00387,DM00087,SP00946
